Site;Date;Year;Season;Geology;Discharge;Discharge_deviation;Temperature;pH;DO;pN2O;N2O_concentration;delta_N2O;fN2O;pCH4;CH4_concentration;delta_CH4;fCH4;pCO2;CO2_concentration;delta_CO2;fCO2;TN;TDN;NO3-;NH4+;DIN;DON;DOC;TP;TDP;TPP;LU_Urban;LU_Agricultural;LC_Forest;LC_Wetland;LC_Water;LU_others
58;17-12-07;2017;Fall;Saint-Lawrence.lowlands;38.89;-0.23;-0.76;6.78;98;0.45;24.51;4.9;0;46.54;123.48;0.12;0.05;919.75;65.37;32.43;19.16;1049.51;974.58;496.65;285.27;781.92;192.66;5.17;35.25;11.88;23.37;4.8;15.98;64.88;0.51;2.78;11.04
70;17-12-07;2017;Fall;Saint-Lawrence.lowlands;33.88;-0.29;-0.82;6.74;99.7;0.38;20.58;0.93;0;18.33;48.73;0.04;0.09;725.67;51.7;18.67;55.57;829.24;817.55;424.69;144.95;569.64;247.91;4.98;23.24;9.41;13.83;37.12;17.67;35.49;0;0.44;9.33
82;17-12-07;2017;Fall;Canadian.shield;32.76;-0.29;-1.26;6.75;99.6;0.41;22.69;2.66;0;19.85;53.52;0.05;0.08;880.71;63.82;30.2;73.31;686.26;708.13;271.07;140.13;411.2;296.93;4.74;16.84;8.37;8.47;9.94;5.03;61.87;0.44;8.66;14.06
92;17-12-08;2017;Fall;Canadian.shield;28.36;-0.32;-1.31;6.39;93.3;0.37;20.62;0.55;0;21.01;56.73;0.05;0.06;748.22;54.32;20.63;34.98;582.08;693.9;243.84;105.19;349.03;344.87;7.18;13.65;6.93;6.73;5.25;4.8;77.53;0;1.36;11.06
101;17-12-06;2017;Fall;Canadian.shield;28.79;-0.3;-0.9;7.11;99.1;0.37;20.3;0.58;0;5.12;13.66;0.01;0;768.33;54.9;21.77;15.4;565.66;556.46;228.45;79.99;308.45;248.01;4.86;13.5;6.1;7.41;1.43;1.03;88.44;0.05;4.59;4.47
106;17-12-07;2017;Fall;Canadian.shield;23.32;-0.3;-1.21;6.4;100.5;0.38;20.87;0.88;0;10.2;27.45;0.02;0.02;784.16;56.71;23.16;23.79;514.08;574.96;201.09;91.46;292.55;282.41;4.9;9.89;5.29;4.6;1.09;0.31;89.27;0.11;6.22;3
110;17-12-06;2017;Fall;Canadian.shield;18.47;-0.3;-0.81;7.14;98.7;0.36;19.75;0.11;0;3.8;10.09;0.01;0.01;592.25;42.18;9.16;18.49;606.24;593.16;215.35;111.42;326.77;266.4;4.81;11.85;6.05;5.79;1.25;0.3;89.28;0;3.88;5.32
128;17-12-06;2017;Fall;Canadian.shield;10.14;-0.33;-0.35;7.59;99.9;0.38;20.07;0.81;0;24.11;63.14;0.06;0.18;744.13;52.07;19.66;90.62;530.55;556.96;173.8;79.17;252.97;303.99;4.68;10.54;5.24;5.3;4.1;0.16;80.73;0.04;9.16;5.8
140;17-12-06;2017;Fall;Canadian.shield;8.38;-0.33;0.18;7.7;90.8;0.34;17.66;-1.18;-0.01;6.29;16.21;0.01;0.14;555.51;43.02;6.36;113.58;381.85;423.79;68.98;31.08;100.05;323.74;7.05;6.49;4.71;1.78;0.2;0;87.53;0.06;8.36;3.85
160;17-12-06;2017;Fall;Canadian.shield;0.87;-0.38;-1.94;6.93;93.8;0.35;20.04;-0.58;0;2.65;7.3;0;0.01;674.83;46.16;15.76;88.2;442.58;469.09;156.24;36.94;193.19;275.9;6.22;8.49;5.61;2.88;0;0;97.83;0;1.04;1.13
163;17-12-06;2017;Fall;Canadian.shield;0.87;-0.33;-0.41;7.38;93.8;0.35;18.92;-0.4;0;15.72;41.25;0.04;0.26;639.43;44.83;12.34;130.78;661.87;655.46;526.5;15.84;542.34;113.13;2.22;5.44;3.43;2.01;0;0;100;0;0;0
0;18-02-19;2018;Winter;Saint-Lawrence.lowlands;21.21;-0.59;-2.06;7.62;88.7;0.38;21.44;2.76;NA;48.04;132.91;0.13;NA;1201.2;89.79;55.06;NA;1513.17;1503.74;688.54;883.25;1571.79;-68.05;4.64;54.91;42.87;12.05;0.81;73.69;18.79;0;0.89;5.94
4;18-02-19;2018;Winter;Saint-Lawrence.lowlands;19.51;-0.58;-2.07;7.6;90.3;0.39;22.22;2.66;NA;57.37;158.76;0.15;NA;1134.85;84.87;50.12;NA;1388.83;1431.24;613.3;698.71;1312.02;119.22;4.88;54.16;43.23;10.93;4.73;62.54;27.86;0.04;1.91;2.91
18;18-02-19;2018;Winter;Saint-Lawrence.lowlands;18.83;-0.55;-2.06;7.48;90.4;0.44;25.28;6.6;NA;104.79;289.93;0.29;NA;1287.58;96.25;61.52;NA;1357.11;1331.9;583.65;694.47;1278.12;53.78;4.5;63.7;51.35;12.35;1.29;8.04;79.37;0.27;5.23;5.8
40;18-02-19;2018;Winter;Saint-Lawrence.lowlands;14.52;-0.56;-2.04;7.68;90.4;0.42;23.91;3.46;NA;84.81;234.48;0.23;NA;1150.23;85.91;51.21;NA;1509.31;1484.35;606.99;789.47;1396.46;87.88;4.48;78.6;61.52;17.08;2.33;14.22;65.49;0.71;1.19;16.07
58;18-02-19;2018;Winter;Saint-Lawrence.lowlands;13.17;-0.55;-2.04;7.7;92.7;0.37;21.1;1.98;NA;58.5;161.76;0.16;NA;1056.63;78.92;44.22;NA;1456.95;1372.1;484.48;834.16;1318.63;53.47;4.5;55.26;37.76;17.5;4.8;15.98;64.88;0.51;2.78;11.04
70;18-02-19;2018;Winter;Saint-Lawrence.lowlands;11.47;-0.55;-2.03;7.78;90.6;0.27;15.67;1;NA;26.72;73.85;0.07;NA;437.8;32.69;-2;NA;939.26;911.71;459.78;295.73;755.51;156.19;4.49;29.24;18.87;10.37;37.12;17.67;35.49;0;0.44;9.33
82;18-02-19;2018;Winter;Canadian.shield;11.09;-0.55;-2.04;7.83;93.7;0.3;16.94;2.5;NA;28.48;78.73;0.07;NA;591.64;44.19;9.49;NA;790.36;842.02;393.46;291;684.46;157.56;4.08;24.07;18.18;5.9;9.94;5.03;61.87;0.44;8.66;14.06
92;18-02-19;2018;Winter;Canadian.shield;10.46;-0.55;-2.06;7.68;91.6;0.29;16.61;1.61;NA;16.9;46.77;0.04;NA;581.91;43.5;8.77;NA;839.81;849.86;384.09;283.83;667.92;181.94;4.14;21.87;16.69;5.18;5.25;4.8;77.53;0;1.36;11.06
101;18-02-19;2018;Winter;Canadian.shield;9.98;-0.56;-2.07;7.35;98;0.28;16.02;1.51;NA;8.32;23.04;0.02;NA;490.51;36.68;3.98;NA;686.29;670.65;364.72;143.89;508.61;162.04;4.21;12.3;9.84;2.47;1.43;1.03;88.44;0.05;4.59;4.47
106;18-02-18;2018;Winter;Canadian.shield;7.97;-0.56;-2.07;7.82;95.1;0.28;15.85;1.76;NA;10.22;28.28;0.02;NA;558.73;41.78;7.04;NA;625.1;598.63;336.55;130.6;467.15;131.47;4.56;12.64;8.9;3.74;1.09;0.31;89.27;0.11;6.22;3
110;18-02-18;2018;Winter;Canadian.shield;6.46;-0.56;-2.05;7.98;96.3;0.26;14.57;-0.26;NA;3.47;9.59;0;NA;409.81;30.62;-4.1;NA;461.45;493.41;223.19;97.34;320.52;172.89;4.24;9.55;7.36;2.2;1.25;0.3;89.28;0;3.88;5.32
128;18-02-18;2018;Winter;Canadian.shield;3.55;-0.58;-1.98;8.2;92.9;0.29;16.6;1.76;0.01;22.07;60.91;0.06;0.35;661.83;49.32;14.7;139.2;625.38;591;244.65;201.29;445.95;145.05;4.36;10.48;4.99;5.49;4.1;0.16;80.73;0.04;9.16;5.8
140;18-02-18;2018;Winter;Canadian.shield;2.93;-0.58;-1.16;7.8;88.1;0.29;15.89;1.6;0.01;3.78;10.16;0.01;0.05;927.42;66.94;33.46;447.05;388.72;384.08;185.35;34.16;219.51;164.56;5.67;5.28;3.87;1.41;0.2;0;87.53;0.06;8.36;3.85
160;18-02-18;2018;Winter;Canadian.shield;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;97.83;0;1.04;1.13
163;18-02-18;2018;Winter;Canadian.shield;0.3;-0.58;0.26;7.85;89.7;0.26;13.56;0.04;NA;8.91;22.88;0.02;NA;533.95;36.5;6.17;NA;473.33;480.78;451.77;8.42;460.19;20.6;0.79;3.03;2.81;0.23;0;0;100;0;0;0
0;18-05-08;2018;Spring;Saint-Lawrence.lowlands;221.22;0.97;7.86;6.11;101.9;0.31;12.18;-1.72;0;23.41;48.33;0.04;0.04;617.89;32.21;8.4;10.54;652.47;622.63;374.96;50.87;425.83;196.8;5.27;32.83;8.64;24.19;0.81;73.69;18.79;0;0.89;5.94
4;18-05-08;2018;Spring;Saint-Lawrence.lowlands;203.5;0.98;6.57;6.12;103.2;0.28;11.46;-3.13;-0.1;15.92;34.03;0.03;0.99;525.42;28.62;3.69;179.13;575.89;555.36;291.69;53.45;345.14;210.21;5.45;26.72;7.27;19.45;4.73;62.54;27.86;0.04;1.91;2.91
18;18-05-08;2018;Spring;Saint-Lawrence.lowlands;196.45;0.99;5.78;6.26;97.7;0.29;12.27;-2.77;-0.02;35.54;77.64;0.07;0.5;687.36;38.47;12.82;130.24;564.78;522.41;276.11;51.64;327.76;194.66;5.35;33.54;6.78;26.76;1.29;8.04;79.37;0.27;5.23;5.8
40;18-05-08;2018;Spring;Saint-Lawrence.lowlands;151.45;0.99;5.55;6.27;95.3;0.37;15.83;0.65;0;33.8;74.3;0.07;0.23;1015.32;57.28;31.41;155.15;564.94;528.13;266.92;57.52;324.44;203.69;5.5;31.3;7.22;24.08;2.33;14.22;65.49;0.71;1.19;16.07
58;18-05-08;2018;Spring;Saint-Lawrence.lowlands;137.39;0.99;5.3;6.45;95.6;0.37;15.95;0.63;0;28.21;62.46;0.06;0.12;941.47;53.58;27.47;82.88;561.1;505.23;259.16;63.01;322.17;183.06;5.12;23.34;6.42;16.92;4.8;15.98;64.88;0.51;2.78;11.04
70;18-05-07;2018;Spring;Saint-Lawrence.lowlands;153.28;1.13;4.36;6.16;105.3;0.34;15.14;-0.76;0;16.63;37.81;0.03;0.07;648.31;38.14;11.11;32.91;484.75;481.38;255.19;23.33;278.52;202.86;5.07;19.93;5.32;14.61;37.12;17.67;35.49;0;0.44;9.33
82;18-05-07;2018;Spring;Canadian.shield;148.23;1.13;3.29;5.85;98.8;0.34;15.67;-0.92;0;10.21;23.95;0.02;0.11;688.21;42.07;13.93;111.1;452.38;496.89;218.98;80.8;299.78;197.11;5.04;26.9;5.39;21.51;9.94;5.03;61.87;0.44;8.66;14.06
92;18-05-07;2018;Spring;Canadian.shield;139.77;1.14;2.77;5.95;90.3;0.34;16.05;-0.89;0;3.81;9.06;0.01;0.01;631.78;39.35;10.66;34.68;453.94;430.01;212.09;27.91;240;190.01;5.08;13.05;3.96;9.09;5.25;4.8;77.53;0;1.36;11.06
101;18-05-07;2018;Spring;Canadian.shield;133.33;1.13;2.57;6.16;96.4;0.33;15.53;-1.54;0;2.46;6.06;0;0;611.38;38.36;9.45;34.9;413.65;394.21;207.03;24.04;231.07;163.14;4.79;11.1;4.34;6.76;1.43;1.03;88.44;0.05;4.59;4.47
106;18-05-07;2018;Spring;Canadian.shield;105.53;1.13;2.26;6.27;98.2;0.33;15.88;-1.41;0;3.31;8.01;0;0.01;568.43;36.07;6.81;27.73;415.11;413.18;188.23;37.95;226.17;187.01;5.05;10.34;3.42;6.91;1.09;0.31;89.27;0.11;6.22;3
110;18-05-07;2018;Spring;Canadian.shield;85.53;1.13;2.26;6.34;103.1;0.35;16.67;-0.62;0;2.28;5.51;0;0;586.21;37.2;7.94;25.95;414.18;393.36;175.1;22.63;197.73;195.62;4.97;8.87;3.47;5.4;1.25;0.3;89.28;0;3.88;5.32
128;18-05-06;2018;Spring;Canadian.shield;56.98;1.4;2.52;6.16;95.1;0.36;16.87;-0.24;0;6.51;15.61;0.01;0.06;944.56;59.37;30.4;228.14;423.24;408.65;191.22;29.48;220.7;187.94;4.49;8.92;3.47;5.45;4.1;0.16;80.73;0.04;9.16;5.8
140;18-05-06;2018;Spring;Canadian.shield;47.09;1.4;0.32;6.26;84.5;0.41;21.03;2.29;0.03;16.02;41.08;0.04;0.45;1879.32;128.19;96.63;1769.87;361.15;394.46;168.31;19.09;187.4;207.06;5.41;6.19;4.7;1.49;0.2;0;87.53;0.06;8.36;3.85
160;18-05-06;2018;Spring;Canadian.shield;4.87;1.29;4.37;6.38;93.3;0.34;15.04;-0.86;0;1.7;3.87;0;0;673.76;39.62;12.6;84.96;242.37;228.04;47.83;7.76;55.59;172.45;5.16;8.08;4.48;3.6;0;0;97.83;0;1.04;1.13
163;18-05-06;2018;Spring;Canadian.shield;4.87;1.4;4.58;6.84;92.7;0.32;14.23;-1.54;0;20.71;46.79;0.04;0.14;747.12;43.61;16.8;79.68;553.29;573.15;431.74;4.93;436.67;136.48;1.96;3.88;2.7;1.18;0;0;100;0;0;0
0;18-07-28;2018;Summer;Saint-Lawrence.lowlands;77.78;-0.15;21.91;7.75;96.9;0.57;14.09;5.41;0;185.45;278.19;0.28;0.25;1085.86;37.07;21.8;29.46;1979.91;1917.65;1131.92;270.58;1402.51;515.14;6.33;59.34;29.58;29.76;0.81;73.69;18.79;0;0.89;5.94
4;18-07-29;2018;Summer;Saint-Lawrence.lowlands;55.14;-0.27;21.85;7.55;102.9;0.4;9.99;1.29;0.01;132.58;199.11;0.2;0.95;744.79;25.47;10.17;72.86;1066.7;1027.42;575.13;61.99;637.12;390.3;6.42;41.45;22.03;19.41;4.73;62.54;27.86;0.04;1.91;2.91
18;18-07-31;2018;Summer;Saint-Lawrence.lowlands;29.6;-0.46;21.55;6.75;91.8;0.47;11.79;3.01;0;455.44;653.13;0.65;0.89;1611.17;55.89;40.46;81.84;927.35;905.89;384.65;127.18;511.83;394.06;7.26;31.17;19.78;11.39;1.29;8.04;79.37;0.27;5.23;5.8
40;18-07-31;2018;Summer;Saint-Lawrence.lowlands;22.82;-0.46;20.98;6.1;91.7;0.38;9.64;0.71;0;484.2;699.33;0.7;1.33;1528.52;53.59;37.9;107.78;1044.93;1009.34;400.41;202.15;602.56;406.78;6.9;32.76;21.13;11.63;2.33;14.22;65.49;0.71;1.19;16.07
58;18-07-31;2018;Summer;Saint-Lawrence.lowlands;20.7;-0.46;21;6.96;95.2;0.41;10.58;1.66;0;591.04;835.78;0.83;1.03;1202.34;42.23;26.56;48.69;1124.04;1058.13;303.13;358.27;661.4;396.72;7.43;38.39;18.98;19.41;4.8;15.98;64.88;0.51;2.78;11.04
70;18-07-31;2018;Summer;Saint-Lawrence.lowlands;18.03;-0.48;20.58;6.3;107.7;0.34;8.89;-0.15;0;173.3;266.81;0.26;1.04;585.53;20.73;4.86;28.37;601.3;550.98;206.32;29.25;235.58;315.4;7.77;23.62;8.07;15.56;37.12;17.67;35.49;0;0.44;9.33
82;18-07-31;2018;Summer;Canadian.shield;17.44;-0.47;19.84;7.26;97.4;0.51;13.65;4.4;0.03;285.23;422.76;0.42;3.34;791.17;32.07;15.86;187.47;566.55;500.87;157.34;51.29;208.62;292.24;7.19;17.37;6.27;11.1;9.94;5.03;61.87;0.44;8.66;14.06
92;18-07-31;2018;Summer;Canadian.shield;16.44;-0.47;19.4;7.99;100.4;0.5;13.53;4.15;0.02;198.8;298.27;0.3;1.15;893.25;33.13;16.71;97.01;550.82;488.99;147.39;52.76;200.15;288.84;7.54;19.57;6.26;13.31;5.25;4.8;77.53;0;1.36;11.06
101;18-07-30;2018;Summer;Canadian.shield;21.48;-0.4;20.37;7.05;101.7;0.33;8.49;-0.6;-0.01;78.8;115.14;0.11;1.36;480.49;17.14;1.18;21.16;453.06;409.13;105.44;11.04;116.48;292.66;7.48;17.42;6.19;11.23;1.43;1.03;88.44;0.05;4.59;4.47
106;18-07-30;2018;Summer;Canadian.shield;17;-0.41;20.72;6.95;102.7;0.36;9.24;0.24;0;61.61;89.61;0.09;0.32;495.27;17.55;1.74;9.67;426.08;422.89;90.07;9.23;99.31;323.59;7.1;14.7;6;8.7;1.09;0.31;89.27;0.11;6.22;3
