Site;Date;Year;Season;Geology;Discharge;Discharge_deviation;Temperature;pH;DO;pN2O;N2O_concentration;delta_N2O;fN2O;pCH4;CH4_concentration;delta_CH4;fCH4;pCO2;CO2_concentration;delta_CO2;fCO2;TN;TDN;NO3-;NH4+;DIN;DON;DOC;TP;TDP;TPP;LU_Urban;LU_Agricultural;LC_Forest;LC_Wetland;LC_Water;LU_others
128;18-11-21;2018;Fall;Canadian.shield;5.39;-0.51;0.17;7.51;99.1;0.33;19.41;0.56;NA;34.29;88.34;0.08;NA;996.58;76.79;45.04;NA;488.87;471.77;132;123;255;216.77;4.77;7.1;5.14;1.96;4.1;0.16;80.73;0.04;9.16;5.8
140;18-11-21;2018;Fall;Canadian.shield;4.45;-0.51;2.07;7.92;89.3;0.32;17.29;-0.14;0;6.53;15.87;0.01;0.02;755.07;54.02;24.54;58.44;342.95;337.63;94.8;16.6;111.4;226.23;6.17;6.39;5.65;0.74;0.2;0;87.53;0.06;8.36;3.85
160;18-11-21;2018;Fall;Canadian.shield;0.46;-0.55;0.11;8.13;95.8;0.3;17.97;-0.93;NA;2.55;6.57;0;NA;725.15;56.01;24.19;NA;268.09;274.93;63.5;10.9;74.4;200.53;5.71;6.48;5.57;0.91;0;0;97.83;0;1.04;1.13
163;18-11-21;2018;Fall;Canadian.shield;0.46;-0.51;1.07;9.48;88.4;0.32;17.97;-0.18;0;27.22;68.21;0.06;0.11;805.54;59.91;29.27;72.8;397.67;410.59;284;6.64;290.64;119.95;1.4;3.67;3.47;0.21;0;0;100;0;0;0
0;19-02-19;2019;Winter;Saint-Lawrence.lowlands;24.57;-0.57;-0.02;7.48;100.5;0.68;40.36;21.36;NA;38.97;0.1;0.1;NA;2221.11;172.44;140.45;NA;1847.55;1807.65;860;605;1465;342.65;5.6;67.58;49.43;18.16;0.81;73.69;18.79;0;0.89;5.94
4;19-02-19;2019;Winter;Saint-Lawrence.lowlands;22.61;-0.55;-0.02;7.23;94.4;0.49;29.26;10.26;NA;53.29;0.14;0.13;NA;1500.91;116.53;84.54;NA;1608.15;1494.15;675;610;1285;209.15;5.1;74.52;47.93;26.59;4.73;62.54;27.86;0.04;1.91;2.91
18;19-02-19;2019;Winter;Saint-Lawrence.lowlands;21.82;-0.52;-0.03;7.32;107.2;0.54;31.93;12.92;NA;75.07;0.19;0.19;NA;1955.22;151.86;119.86;NA;1288.95;1676.55;476;580;1056;620.55;6.53;62.9;47.67;15.23;1.29;8.04;79.37;0.27;5.23;5.8
40;19-02-19;2019;Winter;Saint-Lawrence.lowlands;16.82;-0.53;-0.05;7.2;101.3;0.56;33.04;14.01;NA;83.94;0.22;0.21;NA;1976.86;153.66;121.64;NA;1562.55;1465.65;543;660;1203;262.65;5.22;85.6;67.06;18.54;2.33;14.22;65.49;0.71;1.19;16.07
58;19-02-19;2019;Winter;Saint-Lawrence.lowlands;15.26;-0.53;-0.12;7.5;99.5;0.35;20.92;1.84;NA;51.3;0.13;0.13;NA;1249.38;97.39;65.27;NA;1813.35;1625.25;436;865;1301;324.25;5.04;80.15;47.82;32.33;4.8;15.98;64.88;0.51;2.78;11.04
70;19-02-19;2019;Winter;Saint-Lawrence.lowlands;13.29;-0.53;-0.02;7.65;105.7;0.47;27.71;8.71;NA;25.65;0.07;0.06;NA;1320.59;102.53;70.54;NA;1015.35;866.01;397;274;671;195.01;4.14;31.16;20.31;10.85;37.12;17.67;35.49;0;0.44;9.33
82;19-02-19;2019;Winter;Canadian.shield;11.27;-0.55;0.02;8.15;101.1;0.49;28.88;9.91;NA;41.06;0.11;0.1;NA;1461.69;113.3;81.37;NA;804.45;852.33;346;257;603;249.33;4.34;28.18;18.85;9.33;9.94;5.03;61.87;0.44;8.66;14.06
92;19-02-19;2019;Winter;Canadian.shield;10.63;-0.55;-0.01;7.96;102;0.51;30.06;11.06;NA;19.75;0.05;0.05;NA;1403.49;108.92;76.95;NA;752.01;839.79;333;238;571;268.79;4.55;25.18;14.25;10.93;5.25;4.8;77.53;0;1.36;11.06
101;19-02-19;2019;Winter;Canadian.shield;10.14;-0.56;-0.01;7.94;102.1;0.71;42.21;23.22;NA;8.84;0.02;0.02;NA;1313.01;101.9;69.92;NA;684.75;663.09;328;153;481;182.09;4.51;19.35;10.28;9.08;1.43;1.03;88.44;0.05;4.59;4.47
106;19-02-18;2019;Winter;Canadian.shield;8.02;-0.56;-0.02;7.95;101.9;0.46;27.3;8.3;NA;9.95;0.03;0.02;NA;1115.87;86.63;54.65;NA;659.67;619.77;291;153;444;175.77;4.33;16.9;9.5;7.39;1.09;0.31;89.27;0.11;6.22;3
110;19-02-18;2019;Winter;Canadian.shield;6.5;-0.56;-0.01;8.18;103.3;0.41;24.19;5.2;NA;4.53;0.01;0.01;NA;1015.35;78.8;46.82;NA;559.35;558.97;223;129;352;206.97;4.83;13.77;9.53;4.24;1.25;0.3;89.28;0;3.88;5.32
128;19-02-18;2019;Winter;Canadian.shield;3.57;-0.58;0.04;8.55;99.5;0.49;28.98;10.03;NA;26.43;0.07;0.06;NA;1425.68;110.42;78.51;NA;671.83;645.99;214;265;479;166.99;4.17;12.51;4.52;7.99;4.1;0.16;80.73;0.04;9.16;5.8
140;19-02-18;2019;Winter;Canadian.shield;2.95;-0.58;0.9;8.75;101.3;0.44;25.24;6.95;0.01;5.53;0.01;0.01;0.01;1616.96;121.06;90.21;166.14;387.21;358.14;150;36.3;186.3;171.84;5.54;5.15;3.92;1.23;0.2;0;87.53;0.06;8.36;3.85
160;19-02-18;2019;Winter;Canadian.shield;0.3;-0.62;0.25;8.5;106.5;0.36;21.18;2.39;NA;2;0.01;0;NA;1512.5;116.18;84.53;NA;408.87;393.67;165;55;220;173.67;4.23;8.48;5.58;2.9;0;0;97.83;0;1.04;1.13
163;19-02-18;2019;Winter;Canadian.shield;0.31;-0.58;0.53;8.73;101.6;0.32;18.73;0.16;NA;7.6;0.02;0.02;NA;854.84;64.94;33.64;NA;611.79;615.59;456;29.4;485.4;130.19;2.11;4.55;2.9;1.65;0;0;100;0;0;0
0;19-04-26;2019;Spring;Saint-Lawrence.lowlands;419.43;2.52;3.2;7.61;103.8;0.55;28.38;11.73;0.03;20.6;0.05;0.04;0.11;720.66;49.38;21.15;81.18;768.54;809.58;502;62;564;245.58;5.42;41.54;9.4;32.14;0.81;73.69;18.79;0;0.89;5.94
4;19-04-26;2019;Spring;Saint-Lawrence.lowlands;385.82;2.52;3.04;7.59;107.4;0.57;29.99;13.23;NA;16.33;0.04;0.03;NA;884.83;61;32.6;NA;646.56;609.51;356;57.1;413.1;196.41;5.21;36.49;8.54;27.96;4.73;62.54;27.86;0.04;1.91;2.91
18;19-04-26;2019;Spring;Saint-Lawrence.lowlands;372.46;2.52;2.79;7.56;101.7;0.45;23.98;7.05;0.08;24.41;0.06;0.05;0.58;745.45;51.88;23.21;372.08;618.63;594.12;336;61.4;397.4;196.72;5.23;34.78;8.35;26.44;1.29;8.04;79.37;0.27;5.23;5.8
40;19-04-26;2019;Spring;Saint-Lawrence.lowlands;287.13;2.52;2.66;7.43;103;0.42;22.56;5.55;0.01;17.19;0.04;0.04;0.09;693.74;48.52;19.71;68.97;633.45;591.27;356;65.2;421.2;170.07;5.23;27.65;8.48;19.17;2.33;14.22;65.49;0.71;1.19;16.07
58;19-04-26;2019;Spring;Saint-Lawrence.lowlands;260.49;2.52;2.49;7.36;104;0.36;19.31;2.18;NA;12.8;0.03;0.03;NA;690.02;48.58;19.57;NA;622.05;611.22;362;61.8;423.8;187.42;5.26;31.06;7.34;23.72;4.8;15.98;64.88;0.51;2.78;11.04
70;19-04-25;2019;Spring;Saint-Lawrence.lowlands;263.43;2.45;2.1;6.76;97.6;0.42;22.78;5.38;0.01;5.92;0.01;0.01;0.02;614.76;43.93;14.49;37.84;587.28;549.66;337;44.4;381.4;168.26;5.18;41;6.61;34.39;37.12;17.67;35.49;0;0.44;9.33
82;19-04-25;2019;Spring;Canadian.shield;254.75;2.44;1.72;6.53;105.4;0.33;18.31;0.63;0;12.56;0.03;0.03;0.06;719.59;52.18;22.3;78.41;559.92;533.13;328;45.3;373.3;159.83;5.05;33.7;5.07;28.63;9.94;5.03;61.87;0.44;8.66;14.06
92;19-04-25;2019;Spring;Canadian.shield;240.22;2.45;1.65;6.63;106.1;0.46;25.67;7.95;0.01;3.7;0.01;0;0.01;744.83;54.16;24.2;41.54;531.99;511.47;328;36.3;364.3;147.17;5.32;22.45;4.95;17.51;5.25;4.8;77.53;0;1.36;11.06
101;19-04-25;2019;Spring;Canadian.shield;229.15;2.45;1.65;6.66;106.7;0.46;25.57;7.84;0.01;2.53;0.01;0;0;726.28;52.81;22.85;49.24;526.86;497.22;339;34.3;373.3;123.92;5.27;18.91;4.16;14.76;1.43;1.03;88.44;0.05;4.59;4.47
106;19-04-25;2019;Spring;Canadian.shield;181.36;2.45;1.49;6.33;105.5;0.48;26.88;9.03;0.02;3.42;0.01;0;0.01;755.5;55.28;25.13;94.29;475.56;469.86;294;31.8;325.8;144.06;5.52;13.49;4.01;9.48;1.09;0.31;89.27;0.11;6.22;3
110;19-04-25;2019;Spring;Canadian.shield;146.99;2.45;1.38;6.22;103.8;0.26;14.37;-3.56;NA;2.69;0.01;0.01;NA;335.81;24.68;-5.6;NA;384.55;389.49;220;28.6;248.6;140.89;6.3;11.49;4.01;7.48;1.25;0.3;89.28;0;3.88;5.32
128;19-04-25;2019;Spring;Canadian.shield;80.75;2.28;1.11;8.24;103.8;0.3;17.23;-0.89;-0.01;8.41;0.02;0.02;0.13;761.13;56.52;25.92;301.62;494.75;485.63;332;41.5;373.5;112.13;5.15;12.5;3.3;8.69;4.1;0.16;80.73;0.04;9.16;5.8
140;19-04-25;2019;Spring;Canadian.shield;66.73;2.28;0.98;8.52;93.8;0.32;18.15;-0.08;0;32.43;0.08;0.08;1.28;1453.48;108.48;77.73;1931.65;402.03;389.11;255;25.9;280.9;108.21;5.94;7.64;3.33;4.31;0.2;0;87.53;0.06;8.36;3.85
160;19-04-25;2019;Spring;Canadian.shield;6.89;2.14;0.04;8.46;97.9;0.28;16.43;-2.52;-0.02;1.34;0;0;-0.01;744.74;57.68;25.77;283.45;225.71;240.53;84.1;6.39;90.49;150.04;6.11;7.54;3.46;3.73;0;0;97.83;0;1.04;1.13
163;19-04-25;2019;Spring;Canadian.shield;6.91;2.28;1.18;8.45;99.1;0.31;17.31;-0.76;0;5.24;0.01;0.01;0.04;524.68;38.85;8.34;52.44;810.15;808.25;986;2.57;988.57;-180.32;2.35;4.29;1.38;2.73;0;0;100;0;0;0
0;19-07-24;2020;Summer;Saint-Lawrence.lowlands;17.31;-0.62;25.2;8.04;101;0.47;11.7;3.81;0;306.6;0.43;0.43;0.16;621.77;21.07;7.11;4;1564.42;1515.02;1100;34.2;1134.2;380.82;5.93;53.63;33.47;20.15;0.81;73.69;18.79;0;0.89;5.94
4;19-07-24;2020;Summer;Saint-Lawrence.lowlands;15.93;-0.61;23.5;7.45;89.3;0.49;12.62;4.34;0.02;142.48;0.21;0.2;1.17;1626.38;57.7;43.08;365.09;1515.02;1480.82;1080;51.9;1131.9;348.92;5.97;45.88;26.14;19.75;4.73;62.54;27.86;0.04;1.91;2.91
18;19-07-24;2020;Summer;Saint-Lawrence.lowlands;15.37;-0.58;23.55;7.38;82;1.24;31.92;23.65;0.07;475.5;0.69;0.69;1.92;3396.33;120.32;105.72;437.48;1526.42;1446.62;877;217;1094;352.62;6.2;47.7;29.69;18.01;1.29;8.04;79.37;0.27;5.23;5.8
40;19-07-24;2020;Summer;Saint-Lawrence.lowlands;11.85;-0.59;22.82;7.69;72;0.83;21.87;13.42;0.02;685.58;1.01;1.01;1.42;3013.93;108.95;94.05;197.66;1644.22;1606.22;911;408;1319;287.22;5.94;46.96;33.78;13.18;2.33;14.22;65.49;0.71;1.19;16.07
58;19-07-24;2020;Summer;Saint-Lawrence.lowlands;10.75;-0.58;22.69;7.71;84.7;0.61;16.23;7.74;NA;554.4;0.82;0.82;NA;2504.63;90.86;75.92;NA;1598.62;1545.42;707;578;1285;260.42;5.65;45.84;32.8;13.04;4.8;15.98;64.88;0.51;2.78;11.04
70;19-07-23;2020;Summer;Saint-Lawrence.lowlands;10.3;-0.57;24.2;7.36;112.4;0.31;7.89;-0.23;0;190.95;0.27;0.27;0.07;350.39;12.19;-2.14;0.84;788.08;726.52;427;35.9;462.9;263.62;5.41;28.47;14.28;14.19;37.12;17.67;35.49;0;0.44;9.33
82;19-07-23;2020;Summer;Canadian.shield;9.96;-0.57;23.09;7;103.4;0.5;13.07;4.68;0.01;393.18;0.58;0.57;1.66;786.25;28.21;17.27;74.29;691.94;690.8;315;100;415;275.8;5.19;19.81;10.16;9.65;9.94;5.03;61.87;0.44;8.66;14.06
92;19-07-23;2020;Summer;Canadian.shield;9.39;-0.57;22.68;7.09;110.6;0.37;9.92;1.43;0;266.7;0.39;0.39;0.6;695.89;25.25;10.3;23.33;637.98;597.32;242;124;366;231.32;5.23;16.83;6.85;9.99;5.25;4.8;77.53;0;1.36;11.06
101;19-07-23;2020;Summer;Canadian.shield;8.96;-0.58;21.64;7.21;111.4;0.33;8.92;0.17;0;189.74;0.29;0.28;3.77;496.75;18.56;3.17;62.71;506.12;488.64;240;21.3;261.3;227.34;5.25;14.91;6.14;8.77;1.43;1.03;88.44;0.05;4.59;4.47
106;19-07-23;2020;Summer;Canadian.shield;7.09;-0.58;22.01;7.09;112;0.31;8.41;-0.24;0;128.35;0.19;0.19;0.67;520.45;19.24;4.01;21.2;510.3;552.86;225;86;311;241.86;5.28;16.18;6.78;9.39;1.09;0.31;89.27;0.11;6.22;3
110;19-07-23;2020;Summer;Canadian.shield;5.74;-0.58;21.98;7.6;113.4;0.27;7.23;-1.43;0;32.72;0.05;0.05;0.01;134.99;5;-10.25;1.99;509.54;498.9;211;14.9;225.9;273;6.07;15.91;8.97;6.94;1.25;0.3;89.28;0;3.88;5.32
128;19-07-23;2020;Summer;Canadian.shield;3.16;-0.59;20.9;7.24;104.3;0.34;9.44;0.49;NA;88.02;0.13;0.13;NA;857.87;32.73;17.01;NA;560.84;571.86;174;156;330;241.86;5.1;11.98;4.87;7.11;4.1;0.16;80.73;0.04;9.16;5.8
140;19-07-23;2020;Summer;Canadian.shield;2.61;-0.59;23.71;7.7;103.3;0.26;6.77;-1.46;-0.39;40.02;0.06;0.06;14.98;415.6;14.66;0.13;50.95;235.18;246.58;3.29;3.54;6.83;239.75;5.98;7.36;4.07;3.29;0.2;0;87.53;0.06;8.36;3.85
160;19-07-23;2020;Summer;Canadian.shield;0.27;-0.63;16.21;8.33;98.4;0.26;8.32;-2.05;0;16.36;0.03;0.02;0.02;817.93;35.88;17.81;19.42;411.12;406.94;72.8;7.81;80.61;326.33;8.69;14.82;13.2;1.62;0;0;97.83;0;1.04;1.13
163;19-07-23;2020;Summer;Canadian.shield;0.27;-0.59;9.66;8.44;94.7;0.29;11.93;-1.08;0;3.6;0.01;0;0;880.26;47.8;25.42;32.28;252.66;256.84;182;4.43;186.43;70.41;1.21;4.04;3.48;0.56;0;0;100;0;0;0
0;19-11-07;2020;Fall;Saint-Lawrence.lowlands;63.54;-0.26;4.53;7.25;96.87;0.44;21.53;5.74;0.01;45.09;0.1;0.1;0.1;830.81;54.16;27.3;41.73;1826.71;1252.16;881;80.8;961.8;290.36;7.25;49.64;16.53;33.11;0.81;73.69;18.79;0;0.89;5.94
4;19-11-07;2020;Fall;Saint-Lawrence.lowlands;58.45;-0.25;4.74;5.98;98.45;0.43;21.08;5.42;0.03;35.19;0.08;0.08;0.44;760.12;49.17;22.52;197.08;1165.51;1065.58;468;76.1;544.1;521.48;7.15;35.64;12.22;23.42;4.73;62.54;27.86;0.04;1.91;2.91
18;19-11-07;2020;Fall;Saint-Lawrence.lowlands;56.43;-0.22;4.51;8.07;93.85;0.46;22.81;7.01;0.04;118.82;0.27;0.27;1.43;894.95;58.39;31.51;254.92;1130.93;1042.02;375;83.6;458.6;583.42;6.89;26.18;13.03;13.15;1.29;8.04;79.37;0.27;5.23;5.8
40;19-11-07;2020;Fall;Saint-Lawrence.lowlands;43.5;-0.23;4.23;7.64;96.14;0.51;25.29;9.31;0.02;103.44;0.24;0.23;0.49;935.92;61.7;34.54;108.89;853.34;1021.5;393.5;94.5;488;533.5;7;32.5;12.88;19.63;2.33;14.22;65.49;0.71;1.19;16.07
58;19-11-07;2020;Fall;Saint-Lawrence.lowlands;39.46;-0.23;4.01;7.66;101.04;0.47;23.84;7.72;0.01;96.03;0.22;0.22;0.28;836.56;55.6;28.22;55.54;1113.83;933.34;353;112;465;468.34;6.39;45.93;17.38;28.55;4.8;15.98;64.88;0.51;2.78;11.04
70;19-11-07;2020;Fall;Saint-Lawrence.lowlands;42;-0.19;4.96;7.68;100.52;0.38;18.27;2.74;0;35.28;0.08;0.08;0.09;606.02;38.88;12.45;22.26;701.15;707.24;247;53.5;300.5;406.74;6.56;25.57;8.48;17.09;37.12;17.67;35.49;0;0.44;9.33
82;19-11-07;2020;Fall;Canadian.shield;40.61;-0.19;4.73;7.72;99.79;0.42;20.7;5.03;0.02;34.3;0.08;0.07;0.27;636.28;41.17;14.51;81.05;463.65;425.28;161;51.25;212.25;213.03;6.27;13.19;5.31;7.88;9.94;5.03;61.87;0.44;8.66;14.06
92;19-11-07;2020;Fall;Canadian.shield;38.29;-0.19;4.74;7.83;104.48;0.37;18.34;2.68;0;16.77;0.04;0.03;0.03;554.23;35.85;9.2;12.64;676.07;460.43;148;43.6;191.6;268.83;6.2;15.17;4.86;10.32;5.25;4.8;77.53;0;1.36;11.06
101;19-11-07;2020;Fall;Canadian.shield;36.53;-0.2;4.76;7.96;101.88;0.39;19.12;3.47;0.02;7.93;0.02;0.01;0.07;470.37;30.4;3.77;27.39;494.81;556;128;29.3;157.3;398.7;6.45;11.07;6.04;5.03;1.43;1.03;88.44;0.05;4.59;4.47
106;19-11-07;2020;Fall;Canadian.shield;28.91;-0.2;4.84;8.01;101.15;0.35;16.95;1.35;0;16.94;0.04;0.03;0.11;490.19;31.59;5.04;23.25;384.23;341.3;114;22.4;136.4;204.9;6.42;11.53;4.87;6.66;1.09;0.31;89.27;0.11;6.22;3
110;19-11-07;2020;Fall;Canadian.shield;23.43;-0.2;5.06;8.05;99.79;0.33;16.14;0.67;0;4.03;0.01;0.01;0.02;403.03;25.77;-0.57;2.51;446.36;426.04;90.8;24.9;115.7;310.34;9.19;9.71;5.1;4.61;1.25;0.3;89.28;0;3.88;5.32
128;19-11-07;2020;Fall;Canadian.shield;12.87;-0.23;4.74;8.1;98.54;0.36;17.7;2.03;0;23.44;0.05;0.05;0.1;583.47;37.74;11.09;34.94;401.33;336.17;82;47.5;129.5;206.67;5.37;7.86;4.64;3.22;4.1;0.16;80.73;0.04;9.16;5.8
140;19-11-07;2020;Fall;Canadian.shield;10.64;-0.23;6.1;8.68;88.85;0.29;13.52;-1.34;-0.02;16.98;0.04;0.03;0.43;738.23;45.44;20.08;391.9;317.73;288.29;56.6;4.51;61.11;227.18;5.67;5.43;2;3.44;0.2;0;87.53;0.06;8.36;3.85
160;19-11-07;2020;Fall;Canadian.shield;1.1;-0.28;1.26;8.47;101.24;0.36;20.43;2.41;0;1.14;0;0;0;559.44;41.3;10.88;13.51;365.99;348.14;24;3.57;27.57;320.57;9.9;6.63;6.22;0.41;0;0;97.83;0;1.04;1.13
163;19-11-07;2020;Fall;Canadian.shield;1.1;-0.23;3.18;8.42;107.12;0.33;16.96;0.3;0;5.79;0.01;0.01;0.01;578.43;39.67;11.41;22.78;390.5;406.28;283;3.52;286.52;119.76;2.35;1.91;3.01;-1.11;0;0;100;0;0;0
